Which comic characters are painted by token?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:token  . ?uri rdf:type dbo:ComicsCharacter}
List some musicians associated with famous guitar players?	SELECT DISTINCT ?uri WHERE { ?x dbp:notableInstruments dbr:Guitar . ?x dbo:associatedMusicalArtist ?uri  . }
What are the awards won by the producer of Elizabeth: The Golden Age?	SELECT DISTINCT ?uri WHERE { dbr:Elizabeth:_The_Golden_Age_(soundtrack) dbp:producer ?x . ?x dbp:awards ?uri  . }
With what company is the service OneDrive associated?	SELECT DISTINCT ?uri WHERE {?uri dbp:services dbr:OneDrive  . ?uri rdf:type dbo:Company}
Name the university whose affiliations's foundation place is Washington D.C.?	SELECT DISTINCT ?uri WHERE { ?x dbo:foundationPlace dbr:Washington_D.C. . ?uri dbp:affiliations ?x  . ?uri rdf:type dbo:University}
Name presidents of the schools which have queen noor of Jordan as one of them ?	SELECT DISTINCT ?uri WHERE { ?x dbo:president dbr:Queen_Noor_of_Jordan . ?x dbp:president ?uri  . ?x rdf:type dbo:School}
Who appointed the governor under which Robert Witherspoon worked?	SELECT DISTINCT ?uri WHERE { dbr:Robert_Witherspoon dbo:governor ?x . ?x dbp:appointer ?uri  . }
Who is the producer of the song which is the previous work of He's a Liar ?	SELECT DISTINCT ?uri WHERE { dbr:He's_a_Liar dbo:previousWork ?x . ?x dbo:producer ?uri  . ?x rdf:type dbo:Song}
List the base currency of the country whose anthem is Oj svijetla majska zoro.	SELECT DISTINCT ?uri WHERE { ?x dbo:anthem dbr:Oj_svijetla_majska_zoro . ?x dbp:currency ?uri  . }
Who gave the voice for Allen Walker ?	 SELECT DISTINCT ?uri WHERE { dbr:Allen_Walker dbo:voice ?uri }
Which country has given citizenship to both saima chowdhury and edmund john?	SELECT DISTINCT ?uri WHERE { dbr:Saima_Chowdhury dbo:citizenship ?uri. dbr:Edmund_John dbo:citizenship ?uri . }
What university campuses are situated in Indiana?	SELECT DISTINCT ?uri WHERE {?uri dbo:campus dbr:Indiana  . ?uri rdf:type dbo:University}
Where is the swedish covenant hospital?	 SELECT DISTINCT ?uri WHERE { dbr:Swedish_Covenant_Hospital dbo:location ?uri }
Name the members of  boards of Freedom of the City and Trinity House?	SELECT DISTINCT ?uri WHERE { ?uri dbo:board dbr:Freedom_of_the_City . ?uri dbo:board dbr:Trinity_House . }
Was Reza Amrollahi born in Iran?	ASK WHERE { dbr:Reza_Amrollahi dbp:birthplace dbr:Iran }
Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?	 SELECT DISTINCT ?uri WHERE { dbr:Zaman_Shah_Durrani dbp:title ?uri. dbr:Salahuddin_Rabbani dbo:nationality ?uri}
In which war did Roh Tae Woo and Lee Leffingwell fight?	SELECT DISTINCT ?uri WHERE { dbr:Roh_Tae-woo dbo:battle ?uri. dbr:Lee_Leffingwell dbo:battle ?uri . }
list  the producer of the movies in which Rosemarie DeWitt in the star cast?	SELECT DISTINCT ?uri WHERE { ?x dbp:starring dbr:Rosemarie_DeWitt . ?x dbp:producer ?uri  . ?x rdf:type dbo:Film}
What can be cooked out of things belonging to the order Sapindales?	SELECT DISTINCT ?uri WHERE { ?x dbo:order dbr:Sapindales . ?uri dbo:ingredient ?x  . }
How many  TV shows were made by someone who was associated with Lewis Hamilton?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:associatedBand dbr:Lewis_Hamilton . ?uri dbp:creator ?x  . ?uri rdf:type dbo:TelevisionShow}
What is the city whose mayor is Giorgos Kaminis?	SELECT DISTINCT ?uri WHERE {?uri dbp:mayor dbr:Giorgos_Kaminis  . ?uri rdf:type dbo:AdministrativeRegion}
Name the alma mater of Michael hahn ?	 SELECT DISTINCT ?uri WHERE { dbr:Michael_Hahn dbo:almaMater ?uri }
How many party leaders are there whose parties are headquartered in Berlin?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:headquarter dbr:Berlin . ?x dbo:leader ?uri  . ?uri rdf:type dbo:Politician}
How many total religions are followed by people whose hometown is somewhere in India?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:hometown dbr:India . ?x dbp:religion ?uri  . }
Who are the cast members of The Simpsons Ride?	 SELECT DISTINCT ?uri WHERE { dbr:The_Simpsons_Ride dbp:starring ?uri }
Which american football team  has stadium as O.co Coliseum?	SELECT DISTINCT ?uri WHERE {?uri dbo:locationCity dbr:O.co_Coliseum  . ?uri rdf:type dbo:AmericanFootballTeam}
List the products of Playboy Enterprises?	 SELECT DISTINCT ?uri WHERE { dbr:Playboy_Enterprises dbp:products ?uri }
Did Gwo Ka originate in Western Africa?	ASK WHERE { dbr:Gwo_ka dbp:stylisticOrigins dbr:West_Africa }
Which company has a product named Visual Studio and One Drive as service ?	SELECT DISTINCT ?uri WHERE {?uri dbp:services dbr:OneDrive . ?uri dbp:products dbr:Microsoft_Visual_Studio  . ?uri rdf:type dbo:Company}
