Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}
How many people have headed organizations headquartered at Niederkirchnerstrae?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:headquarter dbr:Niederkirchnerstraße . ?x dbo:leader ?uri  . }

In which television shows have Steven Moffat served as an executive producer?	SELECT DISTINCT ?uri WHERE {?uri dbo:executiveProducer dbr:Steven_Moffat  . ?uri rdf:type dbo:TelevisionShow}

Which shareholder of Dagenham wind turbines is also the parent company of the Ford Falcon Cobra?	 SELECT DISTINCT ?uri WHERE { dbr:Ford_Falcon_Cobra dbo:parentCompany ?uri. dbr:Dagenham_wind_turbines dbp:owner ?uri}

What are the airlines whose hub is San Francisco International Airport?	SELECT DISTINCT ?uri WHERE {?uri dbp:hubs dbr:San_Francisco_International_Airport  . ?uri rdf:type dbo:Airline}

Where can I find things run by the maritime museum of San Diego?	SELECT DISTINCT ?uri WHERE { ?x dbp:governingBody dbr:Maritime_Museum_of_San_Diego . ?x dbp:location ?uri  . }

What is the local authority of the Trinity School Brentwood and place of birth of the Sarah Walker (badminton) ?	 SELECT DISTINCT ?uri WHERE { dbr:Trinity_School_Brentwood dbo:localAuthority ?uri. dbr:Sarah_Walker_(badminton) dbp:placeOfBirth ?uri}

How many services does 21Vianet provide?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:21Vianet dbp:services ?uri  . }

Which planet was discovered by Johann Gottfired and Urbain Le Verrier ?	SELECT DISTINCT ?uri WHERE {?uri dbp:discoverer dbr:Johann_Gottfried_Galle . ?uri dbo:discoverer dbr:Urbain_Le_Verrier  . ?uri rdf:type dbo:Planet}

where did the office holder died  who is successor to Elmer Burkett ?	SELECT DISTINCT ?uri WHERE { ?x dbp:successor dbr:Elmer_Burkett . ?x dbp:deathPlace ?uri  . ?x rdf:type dbo:OfficeHolder}

Name the team for which Hensley Meulens played whihc was also the debut team od Steve Ontiveros ?	 SELECT DISTINCT ?uri WHERE { dbr:Steve_Ontiveros_(infielder) dbp:debutteam ?uri. dbr:Hensley_Meulens dbo:team ?uri}

List the actors of  Lucy Sullivan Is Getting Married?	 SELECT DISTINCT ?uri WHERE { dbr:Lucy_Sullivan_Is_Getting_Married dbp:starring ?uri }

Name the island with archipelago as Society Islands and has the largest city named Faaa ?	SELECT DISTINCT ?uri WHERE {?uri dbo:largestCity dbr:Faaa . ?uri dbp:archipelago dbr:Society_Islands  . ?uri rdf:type dbo:Island}

Who started at the pole position in both 1997 canadian grand prix and the 94 spanish one?	SELECT DISTINCT ?uri WHERE { dbr:1997_Canadian_Grand_Prix dbp:poleDriver ?uri. dbr:1994_Spanish_Grand_Prix dbp:poleDriver ?uri . }

Who appointed the governor under whom Richard Winn served?	SELECT DISTINCT ?uri WHERE { dbr:Richard_Winn dbo:governor ?x . ?x dbp:appointer ?uri  . }

What company involved in the development of Sherlock did Arthur Levinson work for?	 SELECT DISTINCT ?uri WHERE { dbr:Arthur_D._Levinson dbo:occupation ?uri. dbr:Sherlock_(software) dbo:developer ?uri}

Which tenants of the Master Card center is also th draft team of Sam Carrrick 	 SELECT DISTINCT ?uri WHERE { dbr:MasterCard_Centre dbp:tenants ?uri. dbr:Sam_Carrick dbp:draftTeam ?uri}

Who produced the TV shows for Fremantle Media?	SELECT DISTINCT ?uri WHERE { ?x dbp:company dbr:FremantleMedia . ?x dbo:producer ?uri  . ?x rdf:type dbo:TelevisionShow}

What is the style of architecture of South Loop Printing House District ?	 SELECT DISTINCT ?uri WHERE { dbr:South_Loop_Printing_House_District dbo:architecturalStyle ?uri }

Whose provides the service of  Outlook and also products  such as Visual Studio?	SELECT DISTINCT ?uri WHERE {?uri dbp:services dbr:Outlook.com . ?uri dbp:products dbr:Microsoft_Visual_Studio  . }

Is Ombla originate in Croatia?	ASK WHERE { dbr:Ombla dbo:sourceMountain dbr:Croatia }

What is the nationality of Newin Chidchob ?	 SELECT DISTINCT ?uri WHERE { dbr:Newin_Chidchob dbp:nationality ?uri }

In which team did Dave Bing and Ron Reed started their basketball career?	SELECT DISTINCT ?uri WHERE { dbr:Dave_Bing dbp:draftTeam ?uri. dbr:Ron_Reed dbp:draftTeam ?uri . }

Was Ganymede discovered by Galileo Galilei?	ASK WHERE { dbr:Ganymede_(moon) dbp:discoverer dbr:Galileo_Galilei }

List some musicians associated with famous guitar players?	SELECT DISTINCT ?uri WHERE { ?x dbp:notableInstruments dbr:Guitar . ?x dbo:associatedMusicalArtist ?uri  . }

What are the awards won by the producer of Elizabeth: The Golden Age?	SELECT DISTINCT ?uri WHERE { dbr:Elizabeth:_The_Golden_Age_(soundtrack) dbp:producer ?x . ?x dbp:awards ?uri  . }

With what company is the service OneDrive associated?	SELECT DISTINCT ?uri WHERE {?uri dbp:services dbr:OneDrive  . ?uri rdf:type dbo:Company}

Name the university whose affiliations's foundation place is Washington D.C.?	SELECT DISTINCT ?uri WHERE { ?x dbo:foundationPlace dbr:Washington_D.C. . ?uri dbp:affiliations ?x  . ?uri rdf:type dbo:University}

Name presidents of the schools which have queen noor of Jordan as one of them ?	SELECT DISTINCT ?uri WHERE { ?x dbo:president dbr:Queen_Noor_of_Jordan . ?x dbp:president ?uri  . ?x rdf:type dbo:School}

Who appointed the governor under which Robert Witherspoon worked?	SELECT DISTINCT ?uri WHERE { dbr:Robert_Witherspoon dbo:governor ?x . ?x dbp:appointer ?uri  . }

Who is the producer of the song which is the previous work of He's a Liar ?	SELECT DISTINCT ?uri WHERE { dbr:He's_a_Liar dbo:previousWork ?x . ?x dbo:producer ?uri  . ?x rdf:type dbo:Song}

List the base currency of the country whose anthem is Oj svijetla majska zoro.	SELECT DISTINCT ?uri WHERE { ?x dbo:anthem dbr:Oj_svijetla_majska_zoro . ?x dbp:currency ?uri  . }

Who gave the voice for Allen Walker ?	 SELECT DISTINCT ?uri WHERE { dbr:Allen_Walker dbo:voice ?uri }

Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus?	SELECT DISTINCT ?uri WHERE { ?uri dbo:associate dbr:Publius_Servilius_Vatia_Isauricus_(consul_48_BC) . ?uri dbo:associate dbr:Marcus_Calpurnius_Bibulus . }

Which country has given citizenship to both saima chowdhury and edmund john?	SELECT DISTINCT ?uri WHERE { dbr:Saima_Chowdhury dbo:citizenship ?uri. dbr:Edmund_John dbo:citizenship ?uri . }

Who is the person that first ascented the Cathedral Peak and Mount Hoffmann?	SELECT DISTINCT ?uri WHERE { dbr:Cathedral_Peak_(California) dbo:firstAscentPerson ?uri. dbr:Mount_Hoffmann dbo:firstAscentPerson ?uri . }

What university campuses are situated in Indiana?	SELECT DISTINCT ?uri WHERE {?uri dbo:campus dbr:Indiana  . ?uri rdf:type dbo:University}

Where is the swedish covenant hospital?	 SELECT DISTINCT ?uri WHERE { dbr:Swedish_Covenant_Hospital dbo:location ?uri }

Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee?	 SELECT DISTINCT ?uri WHERE { dbr:Girl_from_the_North_Country dbo:composer ?uri. dbr:Moondog_Matinee dbo:subsequentWork ?uri}

What is the television show whose vocals are performed by  April Stewart and Mona Marshall?	SELECT DISTINCT ?uri WHERE { ?uri dbp:voices dbr:April_Stewart . ?uri dbp:voices dbr:Mona_Marshall . ?uri rdf:type dbo:TelevisionShow}

Name the members of  boards of Freedom of the City and Trinity House?	SELECT DISTINCT ?uri WHERE { ?uri dbo:board dbr:Freedom_of_the_City . ?uri dbo:board dbr:Trinity_House . }

Was Reza Amrollahi born in Iran?	ASK WHERE { dbr:Reza_Amrollahi dbp:birthplace dbr:Iran }

Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?	 SELECT DISTINCT ?uri WHERE { dbr:Zaman_Shah_Durrani dbp:title ?uri. dbr:Salahuddin_Rabbani dbo:nationality ?uri}

In which war did Roh Tae Woo and Lee Leffingwell fight?	SELECT DISTINCT ?uri WHERE { dbr:Roh_Tae-woo dbo:battle ?uri. dbr:Lee_Leffingwell dbo:battle ?uri . }

list  the producer of the movies in which Rosemarie DeWitt in the star cast?	SELECT DISTINCT ?uri WHERE { ?x dbp:starring dbr:Rosemarie_DeWitt . ?x dbp:producer ?uri  . ?x rdf:type dbo:Film}

What can be cooked out of things belonging to the order Sapindales?	SELECT DISTINCT ?uri WHERE { ?x dbo:order dbr:Sapindales . ?uri dbo:ingredient ?x  . }

How many  TV shows were made by someone who was associated with Lewis Hamilton?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:associatedBand dbr:Lewis_Hamilton . ?uri dbp:creator ?x  . ?uri rdf:type dbo:TelevisionShow}

What is the city whose mayor is Giorgos Kaminis?	SELECT DISTINCT ?uri WHERE {?uri dbp:mayor dbr:Giorgos_Kaminis  . ?uri rdf:type dbo:AdministrativeRegion}

Name the alma mater of Michael hahn ?	 SELECT DISTINCT ?uri WHERE { dbr:Michael_Hahn dbo:almaMater ?uri }

How many party leaders are there whose parties are headquartered in Berlin?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:headquarter dbr:Berlin . ?x dbo:leader ?uri  . ?uri rdf:type dbo:Politician}

How many total religions are followed by people whose hometown is somewhere in India?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:hometown dbr:India . ?x dbp:religion ?uri  . }

Who are the cast members of The Simpsons Ride?	 SELECT DISTINCT ?uri WHERE { dbr:The_Simpsons_Ride dbp:starring ?uri }

Which american football team  has stadium as O.co Coliseum?	SELECT DISTINCT ?uri WHERE {?uri dbo:locationCity dbr:O.co_Coliseum  . ?uri rdf:type dbo:AmericanFootballTeam}

What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?	SELECT DISTINCT ?uri WHERE { dbr:The_Mating_Habits_of_the_Earthbound_Human dbp:starring ?uri. dbr:Mams_Taylor dbo:associatedMusicalArtist ?uri . }

List the products of Playboy Enterprises?	 SELECT DISTINCT ?uri WHERE { dbr:Playboy_Enterprises dbp:products ?uri }

Did Gwo Ka originate in Western Africa?	ASK WHERE { dbr:Gwo_ka dbp:stylisticOrigins dbr:West_Africa }

What are some artists on the show whose opening theme is Send It On?	SELECT DISTINCT ?uri WHERE { ?x dbo:openingTheme dbr:Send_It_On_(Disney's_Friends_for_Change_song) . ?x dbp:artist ?uri  . ?x rdf:type dbo:TelevisionShow}

Which company has a product named Visual Studio and One Drive as service ?	SELECT DISTINCT ?uri WHERE {?uri dbp:services dbr:OneDrive . ?uri dbp:products dbr:Microsoft_Visual_Studio  . ?uri rdf:type dbo:Company}

Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot).	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:commander dbr:Roundhead_(Wyandot) . ?x dbo:commander ?uri }

Who is the player who plays for the team that has the Michigan Stadium?	SELECT DISTINCT ?uri WHERE { ?x dbp:stadium dbr:Michigan_Stadium . ?uri dbp:currentteam ?x  . ?uri rdf:type dbo:Athlete}

Which country's leader is David Johnston?	SELECT DISTINCT ?uri WHERE {?uri dbo:leader dbr:David_Johnston  . ?uri rdf:type dbo:Country}

How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:François-Marie_Le_Marchand_de_Lignery dbo:battle ?x . ?x dbp:combatant ?uri  . ?x rdf:type dbo:MilitaryConflict}

Who is the leader of the town where the Myntdu river originates?	SELECT DISTINCT ?uri WHERE { dbr:Myntdu_River dbo:origin ?x . ?x dbo:leaderName ?uri  . ?x rdf:type dbo:Town}

List the movies whose editors are born in London.	SELECT DISTINCT ?uri WHERE { ?x dbp:placeOfBirth dbr:London . ?uri dbo:editing ?x  . ?uri rdf:type dbo:Film}

What is the incumbent of the Al Gore presidential campaign 2000 and also the president of the Ann Lewis ?	 SELECT DISTINCT ?uri WHERE { dbr:Al_Gore_presidential_campaign_2000 dbo:incumbent ?uri. dbr:Ann_Lewis dbo:president ?uri}

Which royal person married the successor of Darius I?	SELECT DISTINCT ?uri WHERE { ?x dbp:predecessor dbr:Darius_I . ?uri dbp:spouse ?x  . ?uri rdf:type dbo:Royalty}

What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ?	 SELECT DISTINCT ?uri WHERE { dbr:Kim_Sawchuk dbp:region ?uri. dbr:Airtours_International_Airways dbp:destinations ?uri}

Where was Antonio Giannini born?	 SELECT DISTINCT ?uri WHERE { dbr:Antonio_Giannini dbo:birthPlace ?uri }

Where was David Scherman trained ?	 SELECT DISTINCT ?uri WHERE { dbr:David_Scherman dbo:training ?uri }

Which company offer service of Outlook.com and OneDrive?	SELECT DISTINCT ?uri WHERE { ?uri dbp:services dbr:Outlook.com . ?uri dbp:services dbr:OneDrive . ?uri rdf:type dbo:Company}

What is the province of Rouen Business School ?	 SELECT DISTINCT ?uri WHERE { dbr:Rouen_Business_School dbp:province ?uri }

What religions do politicians in the Korean Minjoo Party follow?	SELECT DISTINCT ?uri WHERE { ?x dbo:party dbr:Minjoo_Party_of_Korea . ?x dbo:religion ?uri  . ?x rdf:type dbo:OfficeHolder}

Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:employer dbr:McDonnell_Aircraft . ?x dbo:employer ?uri }

What were the major actions taken by the politicians living in Gales Ferry Connecticut?	SELECT DISTINCT ?uri WHERE { ?x dbo:residence dbr:Gales_Ferry_Connecticut . ?x dbo:battle ?uri  . ?x rdf:type dbo:Politician}

Where was Live in Detroit MI recorded ?	 SELECT DISTINCT ?uri WHERE { dbr:Live_in_Detroit_MI dbo:recordedIn ?uri }

who all have been a manager of english under twenty one football team?	 SELECT DISTINCT ?uri WHERE {?uri dbp:managerclubs dbr:England_national_under-21_football_team }

Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?	SELECT DISTINCT ?uri WHERE {?uri dbp:cities dbr:Helsinki . ?uri dbp:outflow dbr:Danish_straits  . ?uri rdf:type dbo:Sea}

What awards have been won by the executive producer of Timmy Time ?	SELECT DISTINCT ?uri WHERE { dbr:Timmy_Time dbo:executiveProducer ?x . ?x dbo:award ?uri  . }

What is the district of Fort Heath radar station ?	 SELECT DISTINCT ?uri WHERE { dbr:Fort_Heath_radar_station dbp:district ?uri }

What is the common nickname given both to Harding academy and Lyons township high school?	SELECT DISTINCT ?uri WHERE { dbr:Harding_Academy_(Memphis) dbp:nickname ?uri. dbr:Lyons_Township_High_School dbp:nickname ?uri . }

Count all those who've played for the youth club which owns the Rosario Santa Fe stadium.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:ground dbr:Rosario_Santa_Fe . ?uri dbp:youthclubs ?x  . }

What are some families of mammals in the animal kingdom?	SELECT DISTINCT ?uri WHERE { ?x dbo:kingdom dbr:Animal . ?x dbo:family ?uri  . ?x rdf:type dbo:Mammal}

What is the profession of the Chris Myers (New Jersey) which is the governing body of Oahu Railway and Land Company ?	 SELECT DISTINCT ?uri WHERE { dbr:Chris_Myers_(New_Jersey) dbo:profession ?uri. dbr:Oahu_Railway_and_Land_Company dbp:governingBody ?uri}

Count all the different purposes followed by the different NGOs.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:type dbr:Non-governmental_organization . ?x dbp:purpose ?uri  . }

Which television show's developer is Brian Graden and voices to the character is by Isaac Hayes?	SELECT DISTINCT ?uri WHERE {?uri dbp:developer dbr:Brian_Graden . ?uri dbp:voices dbr:Isaac_Hayes  . ?uri rdf:type dbo:TelevisionShow}

How many things are crossed over by bridges which can carry cars?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:carries dbr:Motor_vehicle . ?x dbp:crosses ?uri  . }

Did Steve Sampson manage a club of Santa Clara university	ASK WHERE { dbr:Steve_Sampson dbo:managerClub dbr:Santa_Clara_University }

What newspapers's owners is Schibsted	SELECT DISTINCT ?uri WHERE {?uri dbp:owners dbr:Schibsted  . ?uri rdf:type dbo:Newspaper}

Which arena of WPC Dynamo Moscow is death location of Tigran Petrosian 	 SELECT DISTINCT ?uri WHERE { dbr:WPC_Dynamo_Moscow dbp:arena ?uri. dbr:Tigran_Petrosian dbo:deathPlace ?uri}

List the name of the soccer clubs whose chairman is Joan Laporta.	SELECT DISTINCT ?uri WHERE { ?x dbo:chairman dbr:Joan_Laporta . ?x dbp:name ?uri  . ?x rdf:type dbo:SoccerClub}

List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?	SELECT DISTINCT ?uri WHERE { ?x dbo:layout dbr:Front-engine_four-wheel-drive_layout . ?x dbo:layout ?uri  . ?x rdf:type dbo:Automobile}

In which time zone is Pong Pha?	 SELECT DISTINCT ?uri WHERE { dbr:Pong_Pha dbo:timeZone ?uri }

What is the alma mater of the Angela Trusty and Charles Ayres?	SELECT DISTINCT ?uri WHERE { dbr:Angela_Trusty dbo:almaMater ?uri. dbr:Charles_Ayres dbo:almaMater ?uri . }

Which band had the members of The Conglomerate and has made 'Before I let you go'?	 SELECT DISTINCT ?uri WHERE { dbr:The_Conglomerate_(American_group) dbp:pastMembers ?uri. dbr:Before_I_Let_You_Go dbo:musicalArtist ?uri}

What is the birth place of the cast of Lagnacha Dhumdhadaka?	SELECT DISTINCT ?uri WHERE { dbr:Lagnacha_Dhumdhadaka dbp:starring ?x . ?x dbp:placeOfBirth ?uri  . }

How many rivers start in an English speaking country?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:officialLanguage dbr:English_language . ?uri dbo:sourceCountry ?x  . ?uri rdf:type dbo:River}

What is the television show whose theme music composer's home town is El Sobrante California?	SELECT DISTINCT ?uri WHERE { ?x dbo:hometown dbr:El_Sobrante_California . ?uri dbp:themeMusicComposer ?x  . ?uri rdf:type dbo:TelevisionShow}

What  is the Nickname of Daniel O'Regan ?	 SELECT DISTINCT ?uri WHERE { dbr:Daniel_O'Regan dbp:nickname ?uri }

Where are Aureus and Solidus used as currency?	SELECT DISTINCT ?uri WHERE { ?uri dbo:currency dbr:Aureus . ?uri dbo:currency dbr:Solidus_(coin) . }

Music for what was made by someone who died of a cardiovascular disease?	SELECT DISTINCT ?uri WHERE { ?x dbo:deathCause dbr:Cardiovascular_disease . ?uri dbp:music ?x  . }

Is the chestnut white bellied rat a mammal?	ASK WHERE { dbr:Chestnut_white-bellied_rat dbo:class dbr:Mammal }

Was Tim Gunn a guest on The Broken Code?	ASK WHERE { dbr:The_Broken_Code dbp:guests dbr:Tim_Gunn }

In how many nations can I find dishes made of Shallot?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:ingredient dbr:Shallot . ?x dbo:country ?uri  . ?uri rdf:type dbo:Country}

Who are some american football players whose high school is Oktoc Mississippi?	SELECT DISTINCT ?uri WHERE {?uri dbp:highSchool dbr:Oktoc_Mississippi  . ?uri rdf:type dbo:AmericanFootballPlayer}

What system is both a platform where Nord runs and also distributed The beauty inside?	SELECT DISTINCT ?uri WHERE { dbr:Nord_(video_game) dbo:computingPlatform ?uri. dbr:The_Beauty_Inside dbo:distributor ?uri . }

Is Tirana the largest city of Albania?	ASK WHERE { dbr:Albania dbp:largestCity dbr:Tirana }

what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School?	SELECT DISTINCT ?uri WHERE { dbr:Fr._Agnel_Multipurpose_School_and_Junior_College dbo:sport ?uri. dbr:Vishwajyot_High_School dbo:sport ?uri . }

Who were all the people in office when bob hawke was the PM?	 SELECT DISTINCT ?uri WHERE {?uri dbo:primeMinister dbr:Bob_Hawke }

Name some shows whose company is owned by the CBS Corporation?	SELECT DISTINCT ?uri WHERE { ?x dbo:owner dbr:CBS_Corporation . ?uri dbp:company ?x  . ?uri rdf:type dbo:TelevisionShow}

Which sports are played at institues in Taguig?	SELECT DISTINCT ?uri WHERE { ?x dbo:city dbr:Taguig . ?x dbo:sport ?uri  . ?x rdf:type dbo:EducationalInstitution}

